Date,San_Francisco,Fresno,Kern,Ventura,San_Francisco_population,Fresno_population,Kern_population,Ventura_population,,San_Francisco_persentage_with_COVID19,Fresno_percetage_with_Covid19,Kern_percentage_with_COVID19,Ventura_percentage_with_COVID19
4/15/2020,987,222,462,350,"881,549",999101,"900,202",846006,,0.111962012,0.022219976,0.051321814,0.041370865
4/16/2020,1013,251,533,365,,,,,,0.114911366,0.025122585,0.059208933,0.043143902
4/17/2020,1019,265,565,384,,,,,,0.115591986,0.026523845,0.062763691,0.045389749
4/18/2020,1058,295,578,396,,,,,,0.120016017,0.029526544,0.064207811,0.046808179
4/19/2020,1137,311,610,416,,,,,,0.128977516,0.031127984,0.067762569,0.049172228
4/20/2020,1157,315,623,422,,,,,,0.131246249,0.031528344,0.069206689,0.049881443
4/21/2020,1216,315,643,428,,,,,,0.137939014,0.031528344,0.071428413,0.050590658
4/22/2020,1231,351,671,443,,,,,,0.139640565,0.035131583,0.074538826,0.052363695
4/23/2020,1233,371,683,451,,,,,,0.139867438,0.037133383,0.07587186,0.053309315
4/24/2020,1302,419,699,465,,,,,,0.147694569,0.041937702,0.077649239,0.054964149
4/25/2020,1340,443,735,476,,,,,,0.152005164,0.044339862,0.081648341,0.056264376
4/26/2020,1354,443,755,476,,,,,,0.153593277,0.044339862,0.083870065,0.056264376
4/27/2020,1408,458,809,497,,,,,,0.159718859,0.045841211,0.089868718,0.058746628
4/28/2020,1424,458,828,503,,,,,,0.161533846,0.045841211,0.091979356,0.059455843
4/29/2020,1468,498,847,508,,,,,,0.16652506,0.04984481,0.094089993,0.060046855
4/30/2020,1490,538,866,517,,,,,,0.169020667,0.05384841,0.096200631,0.061110678
5/1/2020,1499,538,893,535,,,,,,0.170041597,0.05384841,0.099199957,0.063238322
5/2/2020,1523,615,939,544,,,,,,0.172764078,0.061555338,0.104309922,0.064302144
5/3/2020,1543,615,969,559,,,,,,0.175032812,0.061555338,0.107642507,0.066075181
5/4/2020,1602,633,1005,566,,,,,,0.181725576,0.063356958,0.111641609,0.066902599
5/5/2020,1624,633,1016,577,,,,,,0.184221183,0.063356958,0.112863557,0.068202826
5/6/2020,1728,672,1045,595,,,,,,0.196018599,0.067260467,0.116085056,0.07033047
5/7/2020,1754,777,1073,608,,,,,,0.198967953,0.077769915,0.119195469,0.071867103
5/8/2020,1806,777,1133,631,,,,,,0.204866661,0.077769915,0.12586064,0.074585759
5/9/2020,1853,813,1166,652,,,,,,0.210198185,0.081373154,0.129526484,0.077068011
5/10/2020,1891,841,1228,666,,,,,,0.214508779,0.084175674,0.136413827,0.078722846
5/11/2020,1943,885,1254,666,,,,,,0.220407487,0.088579633,0.139302068,0.078722846
5/12/2020,1954,945,1286,678,,,,,,0.221655291,0.094585032,0.142856825,0.080141276
5/13/2020,1977,984,1316,700,,,,,,0.224264335,0.098488541,0.146189411,0.08274173
5/14/2020,1994,984,1343,725,,,,,,0.226192758,0.098488541,0.149188738,0.085696792
5/15/2020,1999,1074,1393,748,,,,,,0.226759942,0.107496639,0.154743047,0.088415449
5/16/2020,2026,1074,1428,764,,,,,,0.229822732,0.107496639,0.158631063,0.090306688
5/17/2020,2054,1156,1473,764,,,,,,0.23299896,0.115704018,0.163629941,0.090306688
5/18/2020,2091,1192,1515,764,,,,,,0.237196117,0.119307257,0.16829556,0.090306688
5/19/2020,2131,1192,1537,825,,,,,,0.241733585,0.119307257,0.170739456,0.097517039
5/20/2020,2179,1287,1571,837,,,,,,0.247178546,0.128815805,0.174516386,0.098935469
5/21/2020,2185,1338,1605,858,,,,,,0.247859166,0.133920394,0.178293316,0.10141772
5/22/2020,2198,1338,1644,883,,,,,,0.249333843,0.133920394,0.182625677,0.104372782
5/23/2020,2320,1372,1695,912,,,,,,0.263173119,0.137323454,0.188291072,0.107800654
5/24/2020,2350,1417,1757,937,,,,,,0.26657622,0.141827503,0.195178416,0.110755716
5/25/2020,2367,1448,1824,961,,,,,,0.268504644,0.144930292,0.202621189,0.113592575
5/26/2020,2386,1482,1871,982,,,,,,0.270659941,0.148333352,0.20784224,0.116074827
5/27/2020,2399,1482,1876,1017,,,,,,0.272134618,0.148333352,0.208397671,0.120211913
5/28/2020,2408,1535,1941,1038,,,,,,0.273155548,0.153638121,0.215618272,0.122694165
5/29/2020,2437,1658,2007,1062,,,,,,0.276445212,0.165949188,0.22294996,0.125531025
5/30/2020,2473,1658,2076,1078,,,,,,0.280528933,0.165949188,0.230614906,0.127422264
5/31/2020,2532,1714,2145,1078,,,,,,0.287221697,0.171554227,0.238279853,0.127422264
6/1/2020,2588,1743,2250,1078,,,,,,0.293574152,0.174456837,0.249943901,0.127422264
6/2/2020,2570,1743,2322,1152,,,,,,0.291532291,0.174456837,0.257942106,0.136169247
6/3/2020,2587,1882,2376,1164,,,,,,0.293460715,0.188369344,0.26394076,0.137587677
6/4/2020,2613,1914,2418,1190,,,,,,0.296410069,0.191572223,0.268606379,0.140660941
6/5/2020,2644,1944,2462,1216,,,,,,0.299926606,0.194574923,0.273494171,0.143734205
6/6/2020,2698,2014,2534,1261,,,,,,0.306052188,0.201581222,0.281492376,0.149053316
6/7/2020,2712,2080,2650,1274,,,,,,0.307640301,0.20818716,0.294378373,0.150589949
6/8/2020,2747,2122,2720,1303,,,,,,0.311610585,0.212390939,0.302154405,0.15401782
6/9/2020,2779,2122,2794,1341,,,,,,0.31524056,0.212390939,0.310374783,0.158509514
6/10/2020,2793,2216,2870,1381,,,,,,0.316828673,0.221799398,0.318817332,0.163237613
6/11/2020,2809,2318,2942,1404,,,,,,0.31864366,0.232008576,0.326815537,0.16595627
6/12/2020,2840,2395,3016,1466,,,,,,0.322160198,0.239715504,0.335035914,0.173284823
6/13/2020,2878,2395,3130,1518,,,,,,0.326470792,0.239715504,0.347699739,0.179431352
6/14/2020,2906,2547,3195,1534,,,,,,0.329647019,0.254929181,0.35492034,0.181322591
6/15/2020,2928,2547,3281,1567,,,,,,0.332142626,0.254929181,0.364473751,0.185223273
6/16/2020,2952,2706,3367,1633,,,,,,0.334865107,0.270843488,0.374027163,0.193024636
6/17/2020,2971,2788,3452,1655,,,,,,0.337020404,0.279050867,0.383469488,0.19562509
6/18/2020,2982,2788,3512,1706,,,,,,0.338268207,0.279050867,0.390134659,0.201653416
6/19/2020,3020,3058,3590,1753,,,,,,0.342578802,0.306075162,0.398799381,0.207208932
6/20/2020,3057,3187,3706,1835,,,,,,0.346775959,0.318986769,0.411685377,0.216901535
6/21/2020,3058,3245,3793,1865,,,,,,0.346889396,0.324791988,0.421349875,0.220447609
6/22/2020,3058,3245,3890,1946,,,,,,0.346889396,0.324791988,0.432125234,0.230022009
6/23/2020,3185,3485,3965,2030,,,,,,0.361295855,0.348813583,0.440456697,0.239951017
6/24/2020,3219,3672,4049,2161,,,,,,0.365152703,0.36753041,0.449787936,0.255435541
6/25/2020,3249,3892,4108,2260,,,,,,0.368555803,0.389550206,0.456342021,0.267137585
6/26/2020,3297,4053,4182,2287,,,,,,0.374000765,0.405664693,0.464562398,0.270329052
6/27/2020,3400,4374,4300,2336,,,,,,0.385684744,0.437793576,0.477670567,0.276120973
6/28/2020,3468,4474,4340,2444,,,,,,0.393398438,0.447802575,0.482114014,0.28888684
6/29/2020,3512,4474,4478,2527,,,,,,0.398389653,0.447802575,0.497443907,0.298697645
6/30/2020,3561,4811,4548,2740,,,,,,0.403948051,0.481532898,0.50521994,0.323874772
7/1/2020,3603,4811,4655,2926,,,,,,0.408712391,0.481532898,0.517106161,0.345860431
7/2/2020,3648,5289,4768,3096,,,,,,0.413817043,0.529375909,0.529658899,0.365954851
7/3/2020,3719,5626,4939,3240,,,,,,0.421871047,0.563106233,0.548654635,0.382976007
7/4/2020,3776,5626,5100,3240,,,,,,0.428336939,0.563106233,0.56653951,0.382976007
7/5/2020,3776,5851,5130,3240,,,,,,0.428336939,0.585626478,0.569872095,0.382976007
7/6/2020,3776,6110,5245,3240,,,,,,0.428336939,0.611549783,0.582647006,0.382976007
7/7/2020,3992,6110,5369,3789,,,,,,0.452839264,0.611549783,0.596421692,0.447869164
7/8/2020,4020,6924,5543,3858,,,,,,0.456015491,0.693023028,0.615750687,0.456025135
7/9/2020,4071,7281,5759,3858,,,,,,0.461800762,0.728755151,0.639745302,0.456025135
7/10/2020,4145,7627,5979,4093,,,,,,0.470195077,0.763386284,0.664184261,0.483802715
7/11/2020,4316,7627,6195,4093,,,,,,0.489592751,0.763386284,0.688178875,0.483802715
7/12/2020,4426,7906,6339,4246,,,,,,0.502070787,0.791311389,0.704175285,0.501887693
7/13/2020,4522,8282,6502,4246,,,,,,0.512960709,0.828945222,0.722282332,0.501887693
7/14/2020,4590,8282,6601,4246,,,,,,0.520674404,0.828945222,0.733279864,0.501887693
7/15/2020,4640,8756,6759,4619,,,,,,0.526346238,0.876387873,0.75083148,0.545977215
7/16/2020,4696,8941,6921,4787,,,,,,0.532698693,0.894904519,0.768827441,0.56583523
7/17/2020,4860,9124,7074,4968,,,,,,0.55130231,0.913220986,0.785823626,0.587229878
7/18/2020,4975,9565,7233,4968,,,,,,0.564347529,0.957360667,0.803486329,0.587229878
7/19/2020,5116,9954,7728,5192,,,,,,0.580342102,0.99629567,0.858473987,0.613707231
7/20/2020,5202,9954,8447,5192,,,,,,0.590097658,0.99629567,0.938344949,0.613707231
7/21/2020,5305,10639,9234,5192,,,,,,0.601781637,1.064857307,1.025769772,0.613707231
7/22/2020,5363,10970,10068,5955,,,,,,0.608360965,1.09798709,1.118415644,0.703895717
7/23/2020,5459,11412,11188,6049,,,,,,0.619250887,1.142226862,1.242832164,0.715006749
7/24/2020,5564,11756,12323,6156,,,,,,0.631161739,1.176657815,1.368914977,0.727654414
7/25/2020,5679,12148,13360,6392,,,,,,0.644206958,1.215893088,1.484111344,0.755550197
7/26/2020,5787,12564,14192,6392,,,,,,0.656458121,1.25753052,1.576535044,0.755550197
7/27/2020,5932,12564,14651,6392,,,,,,0.672906441,1.25753052,1.6275236,0.755550197
7/28/2020,6022,12564,15003,6392,,,,,,0.683115743,1.25753052,1.666625935,0.755550197
7/29/2020,6065,13209,16896,6830,,,,,,0.68799352,1.322088558,1.876912071,0.80732288
7/30/2020,6197,13336,17344,6997,,,,,,0.702967163,1.334799985,1.926678679,0.827062692
7/31/2020,6423,14312,18411,7103,,,,,,0.728603855,1.432487807,2.045207631,0.839592154
