specimen_collection_date,cumulative_homeless_cases,total_population_by_percentage ,total_homless_population_by_percentage 
4.15.2020,119,0.064259681,0.078663124
4.16.2020,120,0.067542394,0.079324158
4.17.2020,123,0.07005062,0.081307262
4.18.2020,123,0.073796507,0.081307262
4.19.2020,126,0.077223488,0.083290366
4.20.2020,127,0.079552012,0.083951401
4.21.2020,128,0.085259428,0.084612435
4.22.2020,129,0.089800051,0.08527347
4.23.2020,129,0.094538092,0.08527347
4.24.2020,131,0.100129081,0.086595539
4.25.2020,131,0.104669704,0.086595539
4.26.2020,133,0.107233612,0.087917609
4.27.2020,136,0.110248038,0.089900713
4.28.2020,138,0.113824348,0.091222782
4.29.2020,141,0.116841306,0.093205886
4.30.2020,142,0.123378891,0.093866921
5.1.2020,143,0.126879271,0.094527955
5.2.2020,147,0.131678056,0.097172094
5.3.2020,147,0.135021514,0.097172094
5.4.2020,149,0.138959757,0.098494163
5.5.2020,150,0.141442673,0.099155198
5.6.2020,154,0.147952417,0.101799336
5.7.2020,154,0.153419387,0.101799336
5.8.2020,154,0.157296887,0.101799336
5.9.2020,154,0.161478107,0.101799336
5.10.2020,154,0.168494052,0.101799336
5.11.2020,155,0.171095925,0.102460371
5.12.2020,155,0.175472032,0.102460371
5.13.2020,155,0.179650721,0.102460371
5.14.2020,155,0.184252088,0.102460371
5.15.2020,155,0.189498861,0.102460371
5.16.2020,155,0.194110352,0.102460371
5.17.2020,156,0.199253354,0.103121406
5.18.2020,157,0.202900532,0.10378244
5.19.2020,158,0.20632245,0.104443475
5.20.2020,159,0.212007087,0.10510451
5.21.2020,159,0.217711972,0.10510451
5.22.2020,159,0.222870159,0.10510451
5.23.2020,159,0.228501645,0.10510451
5.24.2020,160,0.234279929,0.105765544
5.25.2020,160,0.238089091,0.105765544
5.26.2020,160,0.244166034,0.105765544
5.27.2020,161,0.25181473,0.106426579
5.28.2020,161,0.255811187,0.106426579
5.29.2020,163,0.262751202,0.107748648
6.1.2020,167,0.283348519,0.110392787
6.2.2020,167,0.290389775,0.110392787
6.3.2020,168,0.296671729,0.111053821
6.4.2020,170,0.302136168,0.112375891
6.5.2020,171,0.309273602,0.113036925
6.8.2020,173,0.330693495,0.114358995
6.9.2020,174,0.33868894,0.115020029
6.10.2020,174,0.345940268,0.115020029
6.11.2020,175,0.353619337,0.115681064
6.12.2020,175,0.363044799,0.115681064
6.15.2020,176,0.385596052,0.116342099
6.16.2020,176,0.394143255,0.116342099
6.17.2020,177,0.402331055,0.117003133
6.18.2020,178,0.412042521,0.117664168
6.19.2020,181,0.423014427,0.119647272
6.22.2020,187,0.452181726,0.12361348
6.23.2020,191,0.467641104,0.126257618
6.24.2020,191,0.484629208,0.126257618
6.25.2020,192,0.496137687,0.126918653
6.26.2020,192,0.509015439,0.126918653
6.29.2020,197,0.545398633,0.130223826
6.30.2020,198,0.566049101,0.130884861
7.1.2020,199,0.585720071,0.131545896
7.2.2020,200,0.604102759,0.13220693
7.3.2020,200,0.624019236,0.13220693
7.6.2020,205,0.669908884,0.135512104
7.7.2020,206,0.685990888,0.136173138
7.8.2020,208,0.718835738,0.137495207
7.9.2020,211,0.740470767,0.139478311
7.10.2020,211,0.765588459,0.139478311
7.13.2020,215,0.821419894,0.14212245
7.14.2020,219,0.84372817,0.144766589
7.15.2020,221,0.876261706,0.146088658
7.16.2020,223,0.898215642,0.147410727
7.17.2020,226,0.92307264,0.149393831
7.20.2020,233,0.979260947,0.154021074
7.21.2020,235,1.007010883,0.155343143
7.22.2020,238,1.035952923,0.157326247
7.23.2020,241,1.066276892,0.159309351
7.24.2020,241,1.090288535,0.159309351
7.27.2020,244,1.144743103,0.161292455
7.28.2020,246,1.159506454,0.162614524
7.29.2020,246,1.191500886,0.162614524
7.30.2020,246,1.227317135,0.162614524
7.31.2020,246,1.247618324,0.162614524
