"date","county","cumulative_population_cases","rooms","rooms_occupied","trailers_requested","trailers_delivered","donated_trailers_delivered","cumulative_homeless_cases","total_population_by_percentage","total_homless_population_by_percentage"
"4.15.2020","San Francisco",987,1012,751,0,0,0,119,0.064259681,0.078663124
"4.16.2020","San Francisco",1013,1271,748,0,0,0,120,0.067542394,0.079324158
"4.17.2020","San Francisco",1019,1271,748,0,0,0,123,0.07005062,0.081307262
"4.18.2020","San Francisco",1058,1271,710,0,0,0,123,0.073796507,0.081307262
"4.19.2020","San Francisco",1137,1273,725,0,0,0,126,0.077223488,0.083290366
"4.20.2020","San Francisco",1157,1273,718,0,0,0,127,0.079552012,0.083951401
"4.21.2020","San Francisco",1216,1273,737,0,0,0,128,0.085259428,0.084612435
"4.22.2020","San Francisco",1231,1328,729,0,0,0,129,0.089800051,0.08527347
"4.23.2020","San Francisco",1233,1328,809,91,59,0,129,0.094538092,0.08527347
"4.24.2020","San Francisco",1302,1434,864,91,91,0,131,0.100129081,0.086595539
"4.25.2020","San Francisco",1340,1434,873,91,91,0,131,0.104669704,0.086595539
"4.26.2020","San Francisco",1354,1431,874,91,91,0,133,0.107233612,0.087917609
"4.27.2020","San Francisco",1408,1805,880,91,91,0,136,0.110248038,0.089900713
"4.28.2020","San Francisco",1424,1805,887,91,91,0,138,0.113824348,0.091222782
"4.29.2020","San Francisco",1468,1805,890,91,91,0,141,0.116841306,0.093205886
"4.30.2020","San Francisco",1490,1807,906,91,91,0,142,0.123378891,0.093866921
"5.1.2020","San Francisco",1499,1795,895,91,91,0,143,0.126879271,0.094527955
"5.10.2020","San Francisco",1891,2351,984,91,91,0,154,0.168494052,0.101799336
"5.11.2020","San Francisco",1943,2351,974,91,91,0,155,0.171095925,0.102460371
"5.12.2020","San Francisco",1954,2508,978,91,91,0,155,0.175472032,0.102460371
"5.13.2020","San Francisco",1977,2508,990,91,91,0,155,0.179650721,0.102460371
"5.14.2020","San Francisco",1994,2508,995,91,91,0,155,0.184252088,0.102460371
"5.15.2020","San Francisco",1999,2508,988,91,91,0,155,0.189498861,0.102460371
"5.16.2020","San Francisco",2026,2508,978,91,91,0,155,0.194110352,0.102460371
"5.17.2020","San Francisco",2054,2508,995,91,91,0,156,0.199253354,0.103121406
"5.18.2020","San Francisco",2091,2678,982,91,91,0,157,0.202900532,0.10378244
"5.19.2020","San Francisco",2131,2678,988,91,91,0,158,0.20632245,0.104443475
"5.2.2020","San Francisco",1523,1795,904,91,91,0,147,0.131678056,0.097172094
"5.20.2020","San Francisco",2179,2678,999,91,91,0,159,0.212007087,0.10510451
"5.21.2020","San Francisco",2185,2678,1011,91,91,0,159,0.217711972,0.10510451
"5.22.2020","San Francisco",2198,2678,1035,91,91,0,159,0.222870159,0.10510451
"5.23.2020","San Francisco",2320,2678,1046,91,91,0,159,0.228501645,0.10510451
"5.24.2020","San Francisco",2350,2678,1047,91,91,0,160,0.234279929,0.105765544
"5.25.2020","San Francisco",2367,2678,1074,91,91,0,160,0.238089091,0.105765544
"5.26.2020","San Francisco",2386,2678,1057,91,91,0,160,0.244166034,0.105765544
"5.27.2020","San Francisco",2399,2678,1070,91,91,0,161,0.25181473,0.106426579
"5.28.2020","San Francisco",2408,2678,1081,91,91,0,161,0.255811187,0.106426579
"5.29.2020","San Francisco",2437,2809,1154,91,91,0,163,0.262751202,0.107748648
"5.3.2020","San Francisco",1543,1795,906,91,91,0,147,0.135021514,0.097172094
"5.4.2020","San Francisco",1602,1795,965,91,91,0,149,0.138959757,0.098494163
"5.5.2020","San Francisco",1624,1795,973,91,91,0,150,0.141442673,0.099155198
"5.6.2020","San Francisco",1728,1795,981,91,91,0,154,0.147952417,0.101799336
"5.7.2020","San Francisco",1754,1795,999,91,91,0,154,0.153419387,0.101799336
"5.8.2020","San Francisco",1806,1795,984,91,91,0,154,0.157296887,0.101799336
"5.9.2020","San Francisco",1853,2351,987,91,91,0,154,0.161478107,0.101799336
"6.1.2020","San Francisco",2588,2809,1154,91,91,0,167,0.283348519,0.110392787
"6.10.2020","San Francisco",2793,2253,1250,91,91,0,174,0.345940268,0.115020029
"6.11.2020","San Francisco",2809,2253,1274,91,91,0,175,0.353619337,0.115681064
"6.12.2020","San Francisco",2840,2253,1291,91,91,0,175,0.363044799,0.115681064
"6.15.2020","San Francisco",2928,2253,1295,91,91,0,176,0.385596052,0.116342099
"6.16.2020","San Francisco",2952,2412,1305,91,91,0,176,0.394143255,0.116342099
"6.17.2020","San Francisco",2971,2412,1353,91,91,0,177,0.402331055,0.117003133
"6.18.2020","San Francisco",2982,2412,1383,91,91,0,178,0.412042521,0.117664168
"6.19.2020","San Francisco",3020,2412,1450,91,91,0,181,0.423014427,0.119647272
"6.2.2020","San Francisco",2570,2253,1176,91,91,0,167,0.290389775,0.110392787
"6.22.2020","San Francisco",3058,2412,1499,91,91,0,187,0.452181726,0.12361348
"6.23.2020","San Francisco",3185,2412,1509,91,91,0,191,0.467641104,0.126257618
"6.24.2020","San Francisco",3219,2412,1569,91,91,0,191,0.484629208,0.126257618
"6.25.2020","San Francisco",3249,2412,1587,91,91,0,192,0.496137687,0.126918653
"6.26.2020","San Francisco",3297,2412,1692,91,91,0,192,0.509015439,0.126918653
"6.29.2020","San Francisco",3512,2407,1741,91,91,0,197,0.545398633,0.130223826
"6.3.2020","San Francisco",2587,2253,1200,91,91,0,168,0.296671729,0.111053821
"6.30.2020","San Francisco",3561,2407,1765,91,91,0,198,0.566049101,0.130884861
"6.4.2020","San Francisco",2613,2253,1223,91,91,0,170,0.302136168,0.112375891
"6.5.2020","San Francisco",2644,2253,1239,91,91,0,171,0.309273602,0.113036925
"6.8.2020","San Francisco",2747,2253,1225,91,91,0,173,0.330693495,0.114358995
"6.9.2020","San Francisco",2779,2253,1239,91,91,0,174,0.33868894,0.115020029
"7.1.2020","San Francisco",3603,2407,1765,91,91,0,199,0.585720071,0.131545896
"7.10.2020","San Francisco",4145,2407,1888,91,91,0,211,0.765588459,0.139478311
"7.13.2020","San Francisco",4522,2407,1888,91,91,0,215,0.821419894,0.14212245
"7.14.2020","San Francisco",4590,2407,1885,91,91,0,219,0.84372817,0.144766589
"7.15.2020","San Francisco",4640,2407,1877,91,91,0,221,0.876261706,0.146088658
"7.16.2020","San Francisco",4696,2407,1883,91,91,0,223,0.898215642,0.147410727
"7.17.2020","San Francisco",4860,2407,1895,91,91,0,226,0.92307264,0.149393831
"7.2.2020","San Francisco",3648,2407,1807,91,91,0,200,0.604102759,0.13220693
"7.20.2020","San Francisco",5202,2407,1916,91,91,0,233,0.979260947,0.154021074
"7.21.2020","San Francisco",5305,2407,1901,91,91,0,235,1.007010883,0.155343143
"7.22.2020","San Francisco",5363,2468,1889,91,91,0,238,1.035952923,0.157326247
"7.23.2020","San Francisco",5459,2468,1881,91,91,0,241,1.066276892,0.159309351
"7.24.2020","San Francisco",5564,2468,1888,91,91,0,241,1.090288535,0.159309351
"7.27.2020","San Francisco",5932,2468,1900,91,91,0,244,1.144743103,0.161292455
"7.28.2020","San Francisco",6022,2614,1901,91,91,0,246,1.159506454,0.162614524
"7.29.2020","San Francisco",6065,2614,1899,91,91,0,246,1.191500886,0.162614524
"7.3.2020","San Francisco",3719,2407,1860,91,91,0,200,0.624019236,0.13220693
"7.30.2020","San Francisco",6197,2614,1895,91,91,0,246,1.227317135,0.162614524
"7.31.2020","San Francisco",6423,2614,1895,91,91,0,246,1.247618324,0.162614524
"7.6.2020","San Francisco",3776,2407,1860,91,91,0,205,0.669908884,0.135512104
"7.7.2020","San Francisco",3992,2407,1860,91,91,0,206,0.685990888,0.136173138
"7.8.2020","San Francisco",4020,2407,1876,91,91,0,208,0.718835738,0.137495207
"7.9.2020","San Francisco",4071,2407,1873,91,91,0,211,0.740470767,0.139478311
